TRI Incident Number,Subject Injury Level,Subject Injured,Age,Subject Race,Subject Gender,Force Against MOS,Subject Used Force
2021033962321,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021037962032,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021037962083,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021037962108,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021042962096,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021044962018,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021044962031,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021049962062,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021051962146,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021053962078,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021053962116,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021059962046,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021059962130,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021059962131,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021059962219,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021061962025,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021061962033,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021061962119,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021061962146,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021062962070,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021062962082,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021062962111,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021062962150,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021062962184,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021063962028,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021063962149,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021063962201,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021063962235,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021065962109,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021065962116,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021065962142,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021065962262,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021066962036,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021066962153,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021066962198,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021066962209,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021066962213,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021066962228,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021066962229,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021067962068,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021068962027,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021071962041,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021071962161,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021079962016,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021079962052,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021080962067,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021082962073,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021086962071,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021090962039,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021092962061,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021092962082,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021092962088,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021092962187,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021094962026,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021094962032,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021094962151,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021094962238,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021094962256,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021096962016,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021096962060,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021096962088,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021097962026,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021097962029,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021097962039,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021098962060,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021100962025,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021100962026,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021100962042,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021100962044,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021100962126,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021103962098,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021103962162,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021107962016,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021107962053,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021109962037,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021120962058,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021121962028,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021121962089,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021121962089,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021122962036,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021124962041,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021124962050,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021126962081,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021127962051,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021131962031,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021132962109,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021133962214,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021139962019,No Injury,N,28,BLACK,MALE,Physical Force,Y
2021139962081,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022026962030,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022033962075,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022033962111,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022033962183,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022033962187,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022038962042,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022043962033,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022045962023,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022049962024,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022061962023,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022065962030,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022068962027,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022068962053,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022068962076,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022071962056,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022082962048,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022086962025,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022090962017,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022092962021,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022092962090,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022092962134,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022092962144,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022094962123,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022094962178,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022096962071,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022097962037,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022097962055,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022100962097,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022102962068,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022103962017,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022109962039,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022113962025,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022121962070,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022122962044,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022127962016,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022127962033,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022133962035,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022133962057,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022133962073,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022139962070,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022140962037,No Injury,N,28,BLACK,MALE,Physical Force,Y
2022140962087,No Injury,N,28,BLACK,MALE,Physical Force,Y
2020020962067,No Injury,N,,BLACK,MALE,Physical Force,Y
2020020962143,No Injury,N,,BLACK,MALE,Physical Force,Y
2020024962080,No Injury,N,,BLACK,MALE,Physical Force,Y
2020025962038,No Injury,N,,BLACK,MALE,Physical Force,Y
2020025962049,No Injury,N,,BLACK,MALE,Physical Force,Y
2020025962140,No Injury,N,,BLACK,MALE,Physical Force,Y
2020026962081,No Injury,N,,BLACK,MALE,Physical Force,Y
2020032962033,No Injury,N,,BLACK,MALE,Physical Force,Y
2020032962062,No Injury,N,,BLACK,MALE,Physical Force,Y
2020032962112,No Injury,N,,BLACK,MALE,Physical Force,Y
2020032962115,No Injury,N,,BLACK,MALE,Physical Force,Y
2020032962142,No Injury,N,,BLACK,MALE,Physical Force,Y
2020032962185,No Injury,N,,BLACK,MALE,Physical Force,Y
2020032962187,No Injury,N,,BLACK,MALE,Physical Force,Y
2020032962189,No Injury,N,,BLACK,MALE,Physical Force,Y
2020033962043,No Injury,N,,BLACK,MALE,Physical Force,Y
2020033962045,No Injury,N,,BLACK,MALE,Physical Force,Y
2020037962093,No Injury,N,,BLACK,MALE,Physical Force,Y
2020038962048,No Injury,N,,BLACK,MALE,Physical Force,Y
2020042962082,No Injury,N,,BLACK,MALE,Physical Force,Y
2020043962075,No Injury,N,,BLACK,MALE,Physical Force,Y
2020044962035,No Injury,N,,BLACK,MALE,Physical Force,Y
2020044962090,No Injury,N,,BLACK,MALE,Physical Force,Y
2020044962100,No Injury,N,,BLACK,MALE,Physical Force,Y
2020044962110,No Injury,N,,BLACK,MALE,Physical Force,Y
2020051962087,No Injury,N,,BLACK,MALE,Physical Force,Y
2020053962116,No Injury,N,,BLACK,MALE,Physical Force,Y
2020059962100,No Injury,N,,BLACK,MALE,Physical Force,Y
2020059962140,No Injury,N,,BLACK,MALE,Physical Force,Y
2020059962216,No Injury,N,,BLACK,MALE,Physical Force,Y
2020061962165,No Injury,N,,BLACK,MALE,Physical Force,Y
2020062962046,No Injury,N,,BLACK,MALE,Physical Force,Y
2020062962159,No Injury,N,,BLACK,MALE,Physical Force,Y
2020063962239,No Injury,N,,BLACK,MALE,Physical Force,Y
2020065962038,No Injury,N,,BLACK,MALE,Physical Force,Y
2020065962044,No Injury,N,,BLACK,MALE,Physical Force,Y
2020065962058,No Injury,N,,BLACK,MALE,Physical Force,Y
2020065962172,No Injury,N,,BLACK,MALE,Physical Force,Y
2020066962219,No Injury,N,,BLACK,MALE,Physical Force,Y
2020067962133,No Injury,N,,BLACK,MALE,Physical Force,Y
